Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
10/25/2024,DevOps Engineer,Recruiting experienced security SW cloud DevOps engineers,Soft Camp Week,company Logo,South Korea,"Map of Gwacheon-si, Gyeonggi-do","SE System Engineer, DevOps, Network, Linux, Technical Support",N/A,saramin.co.kr
12/05/2024,DevOps Engineer,DevOps Engineer Full-time position at Korea's largest virtual asset exchange company,Juri & Partner,company Logo,South Korea,"Map of Seocho-gu, Seoul","DevOps, Service Provider",N/A,saramin.co.kr
12/11/2024,DevOps Engineer,Small and medium-sized business Seoul DevOps engineer career position recruitment headhunting in progress,Dream Pixel,company Logo,South Korea,"Map of Seongdong-gu, Seoul","DevOps, Network, Infrastructure, Cloud, Java",N/A,saramin.co.kr
11/20/2024,DevOps Engineer,Aconsoft DevOps Engineer Recruitment 3+ Years,"Aconsoft Co., Ltd.",company Logo,South Korea,"Map of Gangseo-gu, Seoul","DevOps, Linux, Infrastructure, Cloud, Java",N/A,saramin.co.kr
12/02/2024,DevOps Engineer,Recruiting Ridi SREDevOps Engineer,Liddyju,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Infrastructure, Cloud, AWS, Docker",N/A,saramin.co.kr
11/05/2024,DevOps Engineer,DevOps Engineer Information Security Engineer,Jooeast Games,company Logo,South Korea,"Map of Seocho-gu and Gangnam-gu, Seoul","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,Daekyo Megazone Cloud DevOps Engineer,Definition stock,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Maintenance, Infrastructure, Cloud, Python",N/A,saramin.co.kr
12/07/2024,DevOps Engineer,DevOps Infrastructure EngineersWorld-class gaming company AI Center Pangyo,JHRB Korea,company Logo,South Korea,"Map of Bundang-gu, Seongnam-si, Gyeonggi-do","DevOps, Linux, Infrastructure, AWS, Docker",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,Hiring DevOps Engineers,Juicious Lab,company Logo,South Korea,"Seocho-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
12/08/2024,DevOps Engineer,Data Solution Development Company DevOps SE Engineer,JuHumantreeWorldwide,company Logo,South Korea,"Map of Mapo-gu, Seoul","SE System Engineer, DevOps, Network, Linux, Maintenance",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Tripvitoz DevOps Cloud Engineer,Jutripbitoz,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Infrastructure, Cloud, Python, APM",N/A,saramin.co.kr
